Definition,Lemma,Pronunciation,Part of Speech,Sentence Examples and Related Forms
sering,hotah,hOtah,Adjective,ulang hotah ho mangan i rumahni! jangan sering kau makan di rumahnya!
ketam; alat serut untuk melicinkan kayu,hotam,hOtam,Noun,holi hotam papan na sada ai! ketam papan yang satu itu nanti!; manghotam v mengetam; panghotam n pengetam; panghotaman n pengetaman; tarhotam v terketam
rotan,hotang,hOtaG,Noun,lape ongga ia jumpah hotang marduri ia belum pernah jumpa rotan ber- duri;
kotek,hotek,hOtEk,Noun,
sejenis kayu,hoting,hOtiG,Noun,hayu hoting dear tumang bani parhayu ni rumah kayu hoting bagus betul untuk kayu rumah
kental,hotkot,hOkkOt,Adjective,si Ani mambahen susu hotkot tumang si Ani membikin susu kental sekali
alat untuk mengusir gelatik,hotor,hOtOr,Noun,ia mambuat hotor i jumani dia membuat  alat untuk mengusir burung gelatik di ladangnya
bendungan; timbunan tanah yang ditinggi- kan untuk membendung air,houta,hOwta,Noun,ia mambuat houta i bah sipinggan dia membuat bendungan di sungai sipinggan
kayu yang berapi,howot,hOwOt,Noun,boan howot in ase idah hanima dalan bawa kayu yang berapi itu agar kalian menampak jalan
jemur,hoyah,hOyah,Verb,holi hoyah omei in i atas apui padi itu jemur di atas api nanti
uap,hoyam,hOyam,Verb,
sembelih,hoyok,hOyOk,Verb,
layu,hoyu,hOyu,Adjective,domma hoyu hotang na poso ai rotan yang muda itu sudah layu
ke,hu,hu,Particle,laho ia hu tiga ia pergi ke pasar
ke mana,huja,huja,Pronoun,ho laho huja patar? engkau pergi ke mana besok?
ke sana,hujadui,hujaduwi,Particle,
ke sana,hujai,hujai,Pronoun,mangaha halak ai hujai? mengapa orang itu ke sana?;
ke sana,hujan,hujan,Pronoun,ahu hujan lobei mangalob mangga aku ke sana dahulu mengambil mangga
ke situ,hujin,hujin,Pronoun,ia nokkan laho hujin mardalani ia tadi pergi ke situ berjalan-jalan
ke sini; kemari,hujon,hujOn,Pronoun,ia roh hujon mardalani dia datang berjalan-jalan kemari
bagaimana,hua,huwa,Pronoun,
omong kosong,hual,huwal,Noun,bual
kawan; teman,huan,huwan,Noun,dokahma lang hu idah huanhu kawanku sudah lama tidak kulihat;
paha,huangkuang,huwakkuwaG,Noun,jenges huangkuangni pahanya bagus
gali,huar,huwar,Verb,
kuat,huat,huwat,Adjective,huat do hape ia mangangkat batu ai ia kuat betul mengangkat batu itu
kupas; manghubak	v	mengupas,hubak,hubak,Verb,gopul ai manghubak halambir beruang itu mengupas kelapa; tarhubak v terkupas
mengambil umbut pohon aren,hubal,hubal,Verb,hubal lobei bona bagod ai! ambil umbut pohon aren itu!
lumpur,hubang,hubaG,Noun,bagas dassa hubang ni sabah ai lumpur sawah itu dalam betul
kepada,hubani,hubani,Particle,berehonma buku in hubani! berikan buku ini kepadanya!
umbut,hubei,hubEy,Noun,hubei ni halambir dibahen  loppah umbut kelapa di jadikan sayur
 cubit;  kubak; ihubit v  dicubit;  dikubak,hubit,hubit,Verb,ulang ihubit ihan nigoreng in! jangan dikubak ikan yang di- goreng itu!
benteng; kubu,hubu,hubu,Noun,hurakma lobei tanoh ai bani hubuta ala tolu halak! gali dahulu tanah itu untuk benteng kita kira-kira tiga orang!
kubur,hubur,hubur,Noun,holi hubur baliang na matei on! kubur anjing yang mati ini nanti!; huburhon v kuburkan; manguburhon v menguburkan
kuda,huda,huda,Noun,bani huta ianan hatubuhanni bahat tumang huda di kampung kelahirannya banyak sekali kuda;
sejenis pacul untuk mengorek tanah,hudali,hudali,Noun,
keranjang rotan yang bentuknya bulat dan pakai tutup,hudei,hudEy,Noun,
periuk,hudon,hudOn,Noun,paborsih lobei hudon ai baru mardahan! besihkan dulu periuk itu baru memasak nasi!;
semakin ke ujung semakin runcing dan layu,hujub,hujub,Adjective,
hukum,hukum,hukum,Noun,hukum na mangatur pakon na manata pargoluhan hukum yang mengatur serta menata kehidupan;
kelabu,hulabu,hulabu,Noun,warna hulabu suman bani baju warna kelabu cocok untuk baju
perilaku,hulah,hulah,Noun,hulah in dase samborin perilakunya buruk sekali
pelepah,hulampah,hulappah,Noun,gijikkon lobei hulampah ni halambir ai! buangkan dulu pelepah kelapa itu!
rombongan; marhulanan v berombongan,hulanan,hulanan,Noun,bodat marhulanan i jumani monyet	berombongan	di ladangnya
tali yang dipasang di leher kambing sebagai tempat pengikat tali,hulangkulang,hulakkulaG,Noun,holi bahenma hulangkulang hambing ai bikinlah tali leher pada kambing itu nanti
hingar-bingar,hulasak,hulasak,Adjective,bising; ribut
sejenis kayu (yang dipergunakan kulitnya),hulasar,hulasar,Noun,hayu hulasar ibuat bani resepni bagod kayu hulasar dibuat untuk resep tuak
nasi lembek,hulba,hulba,Noun,buat indahan na hulba ai! ambil nasi lembek itu!
menggelepar,hulepor,hulEpOr,Verb,ihan ai hulepor i bagas  balanga ikan itu menggelepar di dalam belanga
tergesa-gesa,huleteng,hulEtEG,Adjective,ia huleteng laho manjumpahi tunanganni halani porluni dia tergesa-gesa menemui tuna- ngannya karena penting sekali
nama sejenis binatang,hulihap,hulihap,Noun,
campur baur,hulimut,hulimut,Verb,dayok ai hulimut dop ipaluah humbani harangni ayam itu campur baur sesudah dilepas dari kandangnya
tergesa-gesa; tergopoh-gopoh,huliput,huliput,Verb,huliput sidea bahen na lau laho ai mereka tergesa-gesa karena mau pergi
kulit,hulit,hulit,Noun,hulit ni galuh
riuh,hulitik,hulitik,Noun,
semua ber- gerak (seperti lebah di sarangnya),hulosor,hulOsOr,Verb,
"lebat; marhumala v tumbuh lebat, subur, dan merata",humala,humala,Adjective,ma humala mando rih ondi i jumanta  lalang sudah tumbuh lebat di ladang kita
sibuk,humalaput,humalaput,Adjective,humalaput ia laho misir dia sibuk mau pergi
kemangi,humange,humaGE,Noun,
juga,humani,humani,Adverb,
"tempat sayur untuk dibawa ke ladang, terbuat dari sepotong bambu (di atas nya memakai tutup dari ruas- nya yang dipotong)",humar,humar,Noun,
daripada,humbani,hubbani,Particle,
lubang tiang di sudut agar kelihatan bagus,humei,humEy,Noun,
suka mengambil barang orang,humit,humit,Adjective,
dari,hun,hun,Particle,hun ja ham? dari mana kau?
gatal,huna,huna,Adjective,nahei ni huna hona hubang kakinya gatal kena lumpur
kucing,hunang,hunaG,Noun,bahat tumang hunang i rumah kucing banyak sekali di rumah
daripada,hunbani,hubbani,Particle,
duduk,hundul,huddul,Verb,hundulan n tempat duduk; manghunduli v menduduki; marhundulan v berdudukan; pahundulhon v mendudukkan; parhundul n cara duduk; sahundulan n setempat duduk
kata-kata awal atau pembuka kalimat mantera- mantera di Simalungun,hung,huG,Noun,
bagian dalam batang pisang dan dapat dibuat menjadi sayur,hungkam,hukkam,Noun,
penutup mulut anjing agar tidak dapat menggigit,hungkung,hukkuG,Noun,
 kuning,huning,huniG,Noun,2
takar,hunsa,hussa,Noun,i ja hunsa  ni boras ai? di mana  takar beras itu?
kantong; saku; marhunsang v berkantong huntam [huntam] v ikat mulutnya,hunsang,hussaG,Noun,
sejenis bambu (licin dan tidak banyak miangnya) yang digunakan untuk tempat menulis pada zaman dahulu di daerah batak,hupa,hupa,Noun,
kupang,hupang,hupaG,Noun,mata uang zaman dulu;
n kerabu,hurabu,hurabu,Raya,subang;
sejenis lebah badannya belang kuning,huramah,huramah,Noun,
kurang,hurang,huraG,Adverb,sadiha nari hurang ni? berapa lagi kurangnya?;
kurap,hurap,hurap,Noun,naborit hurap tambarni kalpanak penyakit kurap obatnya kalpanak
derak,hurapak,hurapak,Noun,tiruan bunyi dahan patah; marhurapak v berderak
hingar- bingar,hurasak,hurasak,Adjective,ribut
 gemerisik,hurasak,hurasak,Noun,3 tiruan tiupan bunyi angin;
macam- macam anyaman; marhurawang v bermacam- macam	anyaman,hurawang,hurawaG,Noun,marhurawang halak na rajin bermacam-macam		anyaman orang yang rajin
julur,hurei,hurEy,Verb,
suara untuk memanggil ayam,hurha,hurha,Noun,"hurha lobei dayok ai jadi bere mangan! panggil dahulu ayam itu, kemudian beri makan!"
kelakar,huria,huriya,Noun,seloroh; senda gurau;
sejenis ulat,huridap,huridap,Noun,"ulang songon huridap, mardalan pe lang dapot orok jangan seperti ulat, berjalan pun tidak bertenaga"
bintik-bintik (warna ayam),huridi,huridi,Noun,biasani dayok boru-boru huridi do bahatan rupani ayam betina biasanya kebanyakan berwarna bintik- bintik
berjatuhan,huritap,huritap,Verb,huritap bah i toruhni hayu halani baru roh udan air berjatuhan di bawah pohon karena hujan baru turun
layu,hurleh,hurlEh,Adjective,hurleh bulung ni jagul ai daun jagung itu layu
gemeretuk,hurotop,hurOtOp,Noun,hurotop babahni mangan jagul sinaok mulutnya gemeretuk memakan jagung yang di- goreng
gatal tangan; geratil,hurpang,huppaG,Adjective,hurpang tumang tangan ni ambia ai tangan kawan itu geratil sekali
kursuk,hursak,hursak,Verb,
 kunyah,hursap,hursap,Verb,2
letak; manghurtekkon v meletakkan,hurtek,hurtEk,Verb,ise manghurtekkon sipatu ijin? siapa meletakkan sepatu di  situ?
tiruan ayam betina yang baru menetaskan anak,hurtuk,hurtuk,Verb,
gali,huruk,huruk,Verb,
tanggal ,hurung,huruG,Noun,bilangan yang menyatakan hari ke dua puluh sembilan dalam satu bulan
kurung,hurung,huruG,Verb,dayok ai hurung do sadari ayam itu kurung satu hari;
kurus,hurus,hurus,Adjective,angkulani hurus tumang badannya kurus sekali
bisik,husip,husip,Verb,
kusam,husom,husOm,Adjective,bajuni husom agepe baru  iboli bajunya kusam meskipun baru dibeli
gerak,husor,husOr,Noun,
putar,husor,husOr,Verb,pusing; marhusor v berputar; ber- pusing
gosok; asah; manghusuk	v	menggosok,husuk,husuk,Verb,amang manghusuk pisou bani asahan in ase marot ayah menggosok pisau pada asahan itu agar tajam;
kampung; dusun,huta,huta,Noun,daoh tumang huta ai kampung itu jauh sekali;
sedikit,hutik,hutik,Adjective,ia mangindo hutik duit bani inangni dia meminta sedikit uang kepada ibunya
lasak,hutiltal,hutiltal,Adjective,humatiltal v bergerak ke sana kemari
kucing,huting,hutiG,Noun,ulang ibogbog huting in! jangan dipukul kucing itu!
teka-teki,hutinta,hutinta,Noun,seng tarbals hutinta tunanganni ai teka-teki kekasihnya itu tidak terjawab
kutip,hutip,hutip,Verb,holi hutip lassina na i juma ai! kutip  cabai yang di ladang itu nanti! hutipi v kutipi;
kutu,hutu,hutu,Noun,si eda hutu ni bahat si kakak banyak kutunya; hutuon v berkutu;
kecil hati; marhutuk	v		berkecil	hati,hutuk,hutuk,Adjective,ulang	pala		marhutuk	ham mangidah parlahouni ai kamu tidak usah berkecil hati melihat kelakuannya itu
gemetar,hutur,hutur,Adjective,ulang pala hutur nasiam kalian tidak usah gemetar
sembuh,huyah,huyah,Verb,domma huyah	naborit	mai?	sudah sembuh penyakitmu itu?; huyahon v sembuhkan; manghuyahon v menyembuh- kan
pipi,huyum,huyum,Noun,
basah kuyup,huyup,huyup,Adjective,
huruf ketujuh belas dalam aksara Simalungun (dari surat sapuluh siah),i,i,Noun,
pembentuk verba di,i,i,,
di,i,i,Pronoun,kata depan untuk menandai tempat madabuh ia i saba dia jatuh di sawah
dia,ia,iya,Pronoun,ia do misir dia yang pergi
iya,iah,iyak,Particle,
letak; tempat,ianan,iyanan,Noun,ianan ni happur tempat kapur; mangianani v menempati; marianan v bertempat
bertualang ke sana ke mari,iapiap,iyapiyap,Verb,iapiap dassa ho ke sana ke mari saja engkau
lebih; terlebih,iba,iba,Adverb,iba do ho hun bani kau lebih daripadanya
"tungging (bagian ekor ayam, burung, dan se- jenisnya)",ibug,ibug,Noun,
kumbuh,ibus,ibus,Noun,sejenis rumput yang bisa dianyam menjadi tikar
ungkapan terkejut,idag,idag,Noun,
lihat,idah,idah,Verb,haidahan n kelihatan; idahon n yang dilihat;
,idahidahansi,idahidahansi,Adverb,
layan,idang,idaG,Verb,
pintal,idas,idas,Verb,mangidas v memintal; pangidas n pemintal; taridas v terpintal
rahmat,idop,idOp,Noun,belas kasih;
piutang,idou,idOw,Noun,bahat pe idou hu bani piutangku banyak lagi padanya;
kutip; kutipan; mangiduk v mengutip,iduk,iduk,Verb,sidea mangiduk omei na madabuh mereka mengutip padi yang jatuh
 hidup,idup,idup,Verb,
masam,igar,igar,Adjective,
tambuh; tambah,igil,igil,Noun,igil indahanmi! tambah nasimu!; mangigil v menambah
hidung,igung,iguG,Noun,
meringis (seperti suara kuda),iha,iha,Verb,
dendang,ihal,ihal,Noun,
ikan,ihan,ihan,Noun,dong do ijual ham inang ihan? adakah ibu menjual ikan?
alat pengikat,ihat,ihat,Noun,ihat ni uhur pengikat hati
pengawal,ihat,ihat,Noun,bertuah
sedu,ihik,ihik,Noun,isak;
 ikat;  tempat nyawa berpaut,ihot,ihOt,Noun,ihot ni hosah pautan nyawa
 ekor,ihur,ihur,Noun,ihur ni dayok ganjang ai ekor ayam ini panjang;
ikut,ihut,ihut,Verb,ihut ahu hu Medan aku ikut ke Medan; dihuti v mengikuti; mangihutkon	v
malu,ila,ila,Adjective,
lagu yang hanya dinyanyikan oleh wanita se- waktu terang bulan,ilah,ilah,Noun,
jahat,ilat,ilat,Adjective,ilat tumang uhurmu hatimu jahat sekali; mangilat v berniat jahat
kesal,ilei,ilEy,Adjective,
jenguk,iligi,iligi,Verb,
bengkarung,ilik,ilik,Noun,
terharap-harap,ilir,ilir,Verb,ilir diri
 menyamar,ilog,ilOg,Verb,2
padam,iloh,ilOh,Adjective,
air mata,iluh,iluh,Noun,
sudah,ima,ima,Adverb,telah
tebas,imas,imas,Verb,
 perhatikan;  pikirkan,imbagas,imbagas,Verb,imbagaskon ma podah ai! perhatikanlah nasihat itu!; 3 memasukkan dalam hati
memasuk- kan dalam hati,imbagas,imbagas,Verb,iparimbagashon v dimasukkan dalam hati
lawan; saingan; mangimbang v melawan; marimbang	v	berlawanan,imbang,imbaG,Noun,marimbang do sidea orang itu berlawanan;
siamang,imbou,imbow,Noun,sora ni imbou suara siamang
merugi,imbuh,imbuh,Verb,imbuh do usahakku usaha saya merugi
himpit,impit,ippit,Verb,
ingin,impol,ippOl,Adverb,impol uhurhu songonsi ingin hatiku seperti dia
bagian ekor binatang,imput,ipput,Noun,imput ni dayok bagian ekor ayam
itu,in,in,Pronoun,halak in jahat
ibu,inang,inaG,Pronoun,aha na ialap inang hun juma?  apa yang diambil ibu dari ladang?; marinang v beribu; parinangon n istri: parinangon si ucok istri si ucok;
nasi,indahan,indahan,Noun,indahan na	maragu		silopak	ampa sigerger nasi putih yang ber- campur nasi merah; marindahan-indahan n masa- kan		lain	yang	bercampur dengan nasi;
ulur,indat,indat,Verb,
sejenis kayu untuk alat tenun,indit,indit,Noun,
itulah,indo,indo,Pronoun,demikianlah
sindiran,indorop,indorop,Noun,menyindir
nama sejenis tumbuhan,indot,indOt,Noun,
 induk,indung,induG,Noun,indung dayok ai matei induk ayam itu mati;
tempat,inganan,iGanan,Noun,
ribut,ingar,iGar,Adjective,ulang ingar ham i jai! jangan kamu ribut di sana!
ingat,ingat,iGat,Verb,
lebih; amat,inggan,iGgan,Verb,inggan milas pamatang danak ai badan anak itu amat panas
batas,ingganan,iGganan,Noun,i jonma ingananni di sinilah batasnya;
lagu; iraman,inggou,iGgOw,Noun,aha inggou na? apa lagunya?; maringgou v melagu
kacau,ingor,iGOr,Adjective,ribut; perselisihan;
ingat,ingot,ingOt,Verb,ingoton n ingatan; mangingot v mengingat; taringot v teringat
sejenis kayu untuk pengayuh,ingul,iGul,Noun,mambuat ingul amang ayah mengambil kayu untuk pengayuh
manja,inih,inih,Adjective,
rintih,inih,inih,Verb,
pinjam,injam,injam,Verb,injam buku ai lobei! pinjam buku itu dulu!;
itu,inon,inOn,Pronoun,
tenang; diam,inop,inOp,Adjective,inggan inop uhurhu hatiku sangat tenang
pindah,insah,issah,Verb,insah hami hu Jakarta kami pindah ke Jakarta;
sejenis ikan jurung,insor,issOr,Noun,
tajam,insur,insur,Adjective,
intan,intan,intan,Noun,intan batu marharga intan adalah batu yang berharga
sejenis muntah yang keluar dari mulut bayi apabila kekenyangan minum,intar,intar,Noun,
intai,intei,intEy,Verb,
getir,intir,intir,Adjective,
intip,intip,intir,Adjective,
padam,intop,intOp,Verb,intop apui halani roh udan api padam karena hujan turun;
pelihara dengan baik,inu,inu,Verb,inu danak ai! pelihara anak itu dengan baik
minum,inum,inum,Verb,inum lobei nunuk ai! minum dahulu susu itu!;
lihat,ipa,ipa,Verb,ipa lobei omei ai!
nipah,ipah,ipah,Noun,bahat ipah i harangan banyak nipah di hutan
sirip,ipis,ipis,Noun,ipis ni ihan sirip ikan
anak panah,ipoh,ipOh,Noun,ipoh na marbisa anak panah yang berbisa
membobol,ipol,ipOl,Verb,
gigi,ipon,ipOn,Noun,ipon ni kakak borit gigi kakak sakit;
kecoa; coro,ipos,ipOs,Noun,adong ipos i boras ai ada lipas diberas itu
anak panah,ipuh,ipuh,Noun,
bujuk,ipuk,ipuk,Verb,
lapar,ipus,ipus,Adjective,halak ai matei halani ipus orang itu mati karena lapar
iring,irik,irik,Verb,ikut; selidik; irik-irik v selalu mengikuti; irikhon v ikuntukan; mangirik v mengiring; mangirikkon v mengiringkan;
iring,iring,iriG,Verb,
iris,iris,iris,Noun,kerat;
hirup,irup,irup,Verb,
berkilat; cemerlang,irlak,irlak,Adjective,
gelisah; cemas,isah,issah,Adjective,isah uhurku halani masihol hatiku gelisah karena rindu
pacat,isap,isap,Noun,bahat isap i juma banyak pacet di ladang
terjepit; tindih,isat,isat,Verb,isat naheiku   i	hayu ai kakiku terjepit di kayu itu; mangisatkon v melindas
memadatkan,isat,isat,Verb,
siapa,ise,isE,Pronoun,dayok ni ise na i alaman ai? ayam siapa yang di halaman itu?
isi,isi,isi,Noun,
pindah,isir,isir,Verb,isir buku ai hu jon! pindahkan buku itu  ke sini!
penuh benar,isis,isis,Adjective,isis omei i belek ai padi di kaleng itu penuh benar
kanker,isuk,isuk,Noun,inangni maborit isuk ibunya sakit kanker
sejenis cacing kecil yang terdapat dalam air,it,it,Noun,
makanan khas Simalungun yang terbuat dari tepung beras dengan gula merah,itak,itak,Noun,
itik; bebek,itik,itik,Noun,bahat itik hanami i rumah banyak itik kami di rumah
nama sejenis ikan gabus,itok,itOk,Noun,
nila,itom,itOm,Noun,"halani itom aos nunuk karena nila, rusak susu"
cemburu; dendam,itug,itug,Adjective,itug ahu bani ia aku cemburu pada dia;
huruf kedelapan dalam aksara Simalungun (dari surat sapuluh siah),ja,ja,Noun,
mana,ja,ja,Pronoun,
jawab; balas,jabab,jabab,Noun,ulang jabab parhataan inangmu! jangan jawab per- kataan ibumu!
salam,jabat,jabat,Noun,"jabat lobei au, tongkin nari misirma ho! salam dulu aku, sebentar lagi engkau akan pergi!"
janggut; jenggot,jabek,jabEk,Noun,jabek ni hambing jenggot kambing
lantam,jabir,jabir,Adjective,jabir dassa babahni mulutnya  lantam sekali
babu; budak,jabolon,jabolon,Noun,"ulang suruh ahu i ja dong jabolon mu ahu! jangan suruh- suruh aku, aku bukan babumu!; marjabolonkon v memper- budak;"
n rumah,jabu,jabu,Toba,mardalan nahei si Torkis hu jabu si Torkis berjalan kaki ke rumah; marjabu v berumah; marjabuon v berumahkan; marhajabuon	v	berumah tangga;
jadi,jadi,jadi,Verb,jadi ia misir hu Medan dia jadi pindah ke Medan;
jaga; asuh,jaga,jaga,Verb,jaga dear- dear anggi min! jaga baik-baik adikmu itu!;
daging,jagal,jagal,Noun,ongga  do ho mangan jagal? pernahkah kau makan daging?;
bagus;  baik,jagar,jagar,Adjective,domma jagar parsahapan pem- bicaraan sudah bagus
cantik,jagiah,jagiyah,Adjective,jagiah halakni songon bintang na rondang orangnya cantik seperti bintang yang bersinar
rambut yang kusut,jagjag,jagjag,Noun,songon jagjag seperti rambut yang kusut
jagung,jagul,jagul,Noun,bahat do buah ni jagul nami sonari banyak buah jagung kami sekarang;
ayam laga; ayam sabungan,jagur,jagur,Noun,ajang ni isei jagur ai? kepunyaan siapa ayam laga itu?;
dan,jaha,jaha,Particle,halak ai mamboli dayok jaha itik orang itu membeli ayam dan itik
gawat,jahang,jahaG,Adjective,jabang ia sonari halani tarjumpah manangko dia gawat sekarang karena kedapatan mencuri
pedas,jahar,jahar,Noun,jahar tumang lassinani cabainya pedas sekali;
jahat,jahat,jahat,Adjective,
nakal,jahil,jahil,Adjective,dakdanak na jahil anak-anak yang nakal
mengaku,jahu,jahu,Verb,ulang jahu anggo lang tarhorjahon ho! jangan mengaku kalau tidak dapat kamu kerjakan!
sana,jai,jay,Particle,
lekas-lekas; terburu- buru,jais,jais,Adjective,jais dassa panangkutmu gabe maluah terburu-buru sekali kamu mengikat sehingga lepas
jahit,jait,jait,Verb,masin jait nami domma ijual mesin jahit kami sudah dijual;
banyak,jajan,jajan,Adjective,jajan omei sidea i hobon banyak padi mereka di lumbung
jari-jari,jajari,jajari,Noun,
cemooh; ejekan,jajik,jajik,Adjective,ulangma jajik halak na legan! jangan cemooh orang lain!
jala,jala,jala,Noun,jala ihan ai ase ipamasak! jala ikan itu agar kita masak!;
 jalang;  tunasusilajalir [jalir] v meleleh; menetes,jalang,jalaG,Noun,jalir       hadogas
